filename,label
img_0.png,neural
img_1.png,tensor
img_2.png,matrix
img_3.png,vector
img_4.png,logits
img_5.png,kernel
img_6.png,softmax
img_7.png,dropout
img_8.png,vision
img_9.png,speech
img_10.png,search
img_11.png,ethics
img_12.png,robots
img_13.png,policy
img_14.png,reward
img_15.png,prompt
img_16.png,latent
img_17.png,expert
img_18.png,coding
img_19.png,python
img_20.png,pytorch
img_21.png,keras
img_22.png,memory
img_23.png,sample
img_24.png,output
img_25.png,input
img_26.png,train
img_27.png,epoch
img_28.png,batch
img_29.png,probe
img_30.png,prune
img_31.png,weight
img_32.png,embed
img_33.png,linear
img_34.png,convex
img_35.png,global
img_36.png,local
img_37.png,cloud
img_38.png,solver
img_39.png,safety
img_40.png,drift
img_41.png,adapt
img_42.png,align
img_43.png,chain
img_44.png,parse
img_45.png,stats
img_46.png,graph
img_47.png,edges
img_48.png,nodes
img_49.png,index
img_50.png,query
img_51.png,ranks
img_52.png,mining
img_53.png,noise
img_54.png,signal
img_55.png,label
img_56.png,class
img_57.png,group
img_58.png,state
img_59.png,belief
img_60.png,human
img_61.png,proof
img_62.png,causal
img_63.png,robot
img_64.png,swarm
img_65.png,fuzzy
img_66.png,bayes
img_67.png,models
img_68.png,layers
img_69.png,tokens
img_70.png,decode
img_71.png,encode
img_72.png,biases
img_73.png,agents
img_74.png,values
img_75.png,losses
img_76.png,gptneo
img_77.png,llama2
img_78.png,bardai
img_79.png,openai
img_80.png,hugging
img_81.png,dropin
img_82.png,jargon
img_83.png,reason
img_84.png,primes
img_85.png,system
img_86.png,sparse
img_87.png,aiword1
img_88.png,aiword2
img_89.png,aiword3
img_90.png,aiword4
img_91.png,aiword5
img_92.png,aiword6
img_93.png,aiword7
img_94.png,aiword8
img_95.png,aiword9
img_96.png,aiword10
img_97.png,aiword11
img_98.png,aiword12
img_99.png,aiword13
